student_id,province,district,school_name,period,attendance_rate,gpa,income_per_month,dropout_risk_flag,disability_flag,remote_area_flag,program_coverage_flag
STU-00011,Bangkok,Bang Kapi,Urban Access Academy,2026-05,95.4,3.49,11284,0,0,0,0
STU-00011,Bangkok,Bang Kapi,Urban Access Academy,2026-06,95.4,3.27,24548,0,0,0,1
STU-00011,Bangkok,Bang Kapi,Urban Access Academy,2026-07,91.7,2.88,20752,0,0,0,1
STU-00011,Bangkok,Bang Kapi,Urban Access Academy,2026-08,86.7,2.68,5760,0,0,0,1
STU-00012,Bangkok,Bang Kapi,Bang Kapi City School,2026-03,80.3,2.1,6764,0,0,0,1
STU-00012,Bangkok,Bang Kapi,Bang Kapi City School,2026-04,83.1,2.09,5522,0,0,0,1
STU-00012,Bangkok,Bang Kapi,Bang Kapi City School,2026-05,83.1,2.46,10965,0,0,0,0
STU-00012,Bangkok,Bang Kapi,Bang Kapi City School,2026-06,93.6,3.64,16880,0,0,0,0
STU-00012,Bangkok,Bang Kapi,Bang Kapi City School,2026-07,76.6,2.24,8536,0,0,0,1
STU-00012,Bangkok,Bang Kapi,Bang Kapi City School,2026-08,95.3,3.68,11771,0,0,0,1
STU-00013,Bangkok,Khlong Toei,Metro Bridge School,2026-03,50.4,1.09,1138,0,0,0,0
STU-00013,Bangkok,Khlong Toei,Metro Bridge School,2026-04,64.7,1.47,5543,0,0,0,1
STU-00013,Bangkok,Khlong Toei,Metro Bridge School,2026-05,83.7,2.12,4213,0,0,0,0
STU-00013,Bangkok,Khlong Toei,Metro Bridge School,2026-06,82.5,2.5,6886,0,0,0,1
STU-00013,Bangkok,Khlong Toei,Metro Bridge School,2026-07,76.1,2.52,8355,0,0,0,1
STU-00013,Bangkok,Khlong Toei,Metro Bridge School,2026-08,78.5,2.19,4924,0,0,0,0
STU-00014,Bangkok,Phaya Thai,Riverside Learning Hub,2026-03,83.1,2.47,8006,0,0,0,1
STU-00014,Bangkok,Phaya Thai,Riverside Learning Hub,2026-04,92.1,3.66,19068,0,0,0,1
STU-00014,Bangkok,Phaya Thai,Riverside Learning Hub,2026-05,77.7,2.72,9232,0,0,0,1
STU-00014,Bangkok,Phaya Thai,Riverside Learning Hub,2026-06,76.4,2.65,9121,0,0,0,0
STU-00014,Bangkok,Phaya Thai,Riverside Learning Hub,2026-07,70.2,1.8,4068,0,0,0,1
STU-00014,Bangkok,Phaya Thai,Riverside Learning Hub,2026-08,78.9,2.24,9745,0,0,0,1
STU-00015,Chiang Mai,Fang,Fang Border School,2026-03,77.4,2.72,11360,0,0,0,0
STU-00015,Chiang Mai,Fang,Fang Border School,2026-04,74.7,2.28,9043,0,0,0,0
STU-00015,Chiang Mai,Fang,Fang Border School,2026-05,49.5,1.02,1716,0,1,0,0
STU-00015,Chiang Mai,Fang,Fang Border School,2026-06,49.3,1.02,2566,0,0,0,0
STU-00015,Chiang Mai,Fang,Fang Border School,2026-07,45.0,1.07,1934,0,0,0,0
STU-00015,Chiang Mai,Fang,Fang Border School,2026-08,76.4,1.74,2816,0,0,0,0
STU-00016,Chiang Mai,Omkoi,Mountain Path Academy,2026-03,75.1,1.88,5735,0,0,0,1
STU-00016,Chiang Mai,Omkoi,Mountain Path Academy,2026-04,69.8,1.86,6008,1,0,1,1
STU-00016,Chiang Mai,Omkoi,Mountain Path Academy,2026-05,97.8,3.25,27488,0,0,0,1
STU-00016,Chiang Mai,Omkoi,Mountain Path Academy,2026-06,78.0,2.67,5390,0,0,0,1
STU-00016,Chiang Mai,Omkoi,Mountain Path Academy,2026-07,92.4,3.76,13331,0,0,0,1
STU-00016,Chiang Mai,Omkoi,Mountain Path Academy,2026-08,77.0,2.26,7592,0,0,0,1
STU-00017,Chiang Mai,Mae Rim,Mae Rim Learning Center,2026-03,97.7,3.41,24517,0,0,0,0
STU-00017,Chiang Mai,Mae Rim,Mae Rim Learning Center,2026-04,81.0,2.23,11177,0,0,0,0
STU-00017,Chiang Mai,Mae Rim,Mae Rim Learning Center,2026-05,69.6,1.99,5560,0,0,1,1
STU-00017,Chiang Mai,Mae Rim,Mae Rim Learning Center,2026-06,84.0,2.43,9175,0,0,0,0
STU-00017,Chiang Mai,Mae Rim,Mae Rim Learning Center,2026-07,81.1,2.68,6695,0,0,0,1
STU-00017,Chiang Mai,Mae Rim,Mae Rim Learning Center,2026-08,97.6,3.6,20132,0,0,0,0
STU-00018,Chiang Mai,Mae Rim,North Valley School,2026-03,96.1,3.45,17789,0,0,0,0
STU-00018,Chiang Mai,Mae Rim,North Valley School,2026-04,79.5,2.48,8046,0,0,1,1
STU-00018,Chiang Mai,Mae Rim,North Valley School,2026-05,96.4,2.86,12213,0,0,0,1
STU-00018,Chiang Mai,Mae Rim,North Valley School,2026-06,94.7,3.57,22045,0,0,0,0
STU-00018,Chiang Mai,Mae Rim,North Valley School,2026-07,94.0,3.3,21911,0,0,0,1
STU-00018,Chiang Mai,Mae Rim,North Valley School,2026-08,85.1,2.74,6273,0,0,1,0
STU-00019,Chiang Mai,Fang,Northern Care School,2026-03,92.9,3.29,21202,0,0,0,0
STU-00019,Chiang Mai,Fang,Northern Care School,2026-04,94.5,3.1,26753,0,0,0,0
STU-00019,Chiang Mai,Fang,Northern Care School,2026-05,83.7,2.58,9445,0,0,0,1
STU-00019,Chiang Mai,Fang,Northern Care School,2026-06,85.3,2.07,5801,0,0,0,1
STU-00019,Chiang Mai,Fang,Northern Care School,2026-07,92.9,3.04,16694,0,0,0,0
STU-00019,Chiang Mai,Fang,Northern Care School,2026-08,83.5,2.73,7978,0,0,0,1
STU-00020,Chiang Mai,Mae Rim,North Valley School,2026-03,66.0,1.86,2597,0,0,0,0
STU-00020,Chiang Mai,Mae Rim,North Valley School,2026-04,79.6,2.41,9774,0,0,0,0
STU-00020,Chiang Mai,Mae Rim,North Valley School,2026-05,92.1,3.62,17031,0,0,0,1
STU-00020,Chiang Mai,Mae Rim,North Valley School,2026-06,85.2,2.26,4699,0,0,0,0
STU-00020,Chiang Mai,Mae Rim,North Valley School,2026-07,86.3,2.51,6643,0,0,0,0
STU-00020,Chiang Mai,Mae Rim,North Valley School,2026-08,90.2,3.73,15563,0,0,1,1
STU-00021,Chiang Mai,Fang,Northern Care School,2026-03,94.8,3.05,26697,1,0,1,0
STU-00021,Chiang Mai,Fang,Northern Care School,2026-04,75.9,2.22,9130,1,0,1,0
STU-00021,Chiang Mai,Fang,Northern Care School,2026-05,88.4,3.21,10020,1,0,1,0
STU-00021,Chiang Mai,Fang,Northern Care School,2026-06,45.0,1.2,1065,1,0,1,0
STU-00021,Chiang Mai,Fang,Northern Care School,2026-07,61.7,1.73,2707,1,0,1,0
STU-00021,Chiang Mai,Fang,Northern Care School,2026-08,45.5,1.22,1000,1,0,1,0
STU-00022,Chiang Mai,Omkoi,Omkoi Highland School,2026-03,84.3,2.49,6673,0,0,1,1
STU-00022,Chiang Mai,Omkoi,Omkoi Highland School,2026-04,96.9,3.36,21341,0,0,0,1
STU-00022,Chiang Mai,Omkoi,Omkoi Highland School,2026-05,97.5,3.62,14124,0,0,0,1
STU-00022,Chiang Mai,Omkoi,Omkoi Highland School,2026-06,80.9,2.62,11843,0,0,0,1
STU-00022,Chiang Mai,Omkoi,Omkoi Highland School,2026-07,82.5,2.09,10668,0,0,1,0
STU-00022,Chiang Mai,Omkoi,Omkoi Highland School,2026-08,63.5,1.41,1740,1,0,1,0
STU-00023,Chiang Mai,Fang,Northern Care School,2026-03,77.9,2.26,5777,0,1,1,0
STU-00023,Chiang Mai,Fang,Northern Care School,2026-04,97.6,3.47,21002,0,1,0,0
STU-00023,Chiang Mai,Fang,Northern Care School,2026-05,93.3,3.05,13821,0,1,1,0
STU-00023,Chiang Mai,Fang,Northern Care School,2026-06,83.6,2.15,4401,0,1,0,1
STU-00023,Chiang Mai,Fang,Northern Care School,2026-07,69.6,1.89,3403,0,1,1,1
STU-00023,Chiang Mai,Fang,Northern Care School,2026-08,79.5,2.64,9517,0,1,0,1
STU-00024,Chiang Mai,Omkoi,Omkoi Highland School,2026-03,98.4,2.86,26940,0,0,0,0
STU-00024,Chiang Mai,Omkoi,Omkoi Highland School,2026-04,95.7,3.31,24400,0,0,1,0
STU-00024,Chiang Mai,Omkoi,Omkoi Highland School,2026-05,91.1,3.59,18119,0,0,1,0
STU-00024,Chiang Mai,Omkoi,Omkoi Highland School,2026-06,68.2,1.55,3119,0,0,0,0
STU-00024,Chiang Mai,Omkoi,Omkoi Highland School,2026-07,51.6,1.23,2519,0,1,0,1
STU-00024,Chiang Mai,Omkoi,Omkoi Highland School,2026-08,72.0,1.99,3899,1,0,0,0
STU-00025,Chiang Mai,Mae Rim,North Valley School,2026-03,73.7,1.82,5337,0,0,0,0
STU-00025,Chiang Mai,Mae Rim,North Valley School,2026-04,95.4,3.36,27981,0,0,0,1
STU-00025,Chiang Mai,Mae Rim,North Valley School,2026-05,91.0,3.43,20044,0,0,0,0
STU-00025,Chiang Mai,Mae Rim,North Valley School,2026-06,92.1,3.11,11678,0,0,0,0
STU-00025,Chiang Mai,Mae Rim,North Valley School,2026-07,95.1,3.64,16067,0,0,0,1
STU-00025,Chiang Mai,Mae Rim,North Valley School,2026-08,86.6,2.27,9161,0,0,0,0
STU-00026,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-03,65.7,2.08,3525,0,0,1,0
STU-00026,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-04,78.7,2.44,4585,0,0,1,0
STU-00026,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-05,57.4,1.42,5552,1,0,1,0
STU-00026,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-06,81.7,2.53,8932,0,0,1,1
STU-00026,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-07,82.9,2.24,9104,0,0,1,0
STU-00026,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-08,60.1,1.69,4232,0,0,1,0
STU-00027,Chiang Rai,Mae Sai,Northern Bridge School,2026-03,72.5,1.68,4948,0,0,0,0
STU-00027,Chiang Rai,Mae Sai,Northern Bridge School,2026-04,93.7,3.05,14428,0,0,0,0
STU-00027,Chiang Rai,Mae Sai,Northern Bridge School,2026-05,83.0,2.55,6201,0,0,0,1
STU-00027,Chiang Rai,Mae Sai,Northern Bridge School,2026-06,72.6,1.6,2972,1,0,0,1
STU-00027,Chiang Rai,Mae Sai,Northern Bridge School,2026-07,77.1,2.7,6660,0,0,0,1
STU-00027,Chiang Rai,Mae Sai,Northern Bridge School,2026-08,83.1,2.34,7451,0,0,1,0
STU-00028,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-03,45.8,1.0,2132,0,0,0,0
STU-00028,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-04,62.3,1.46,2022,0,0,1,0
STU-00028,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-05,74.0,2.61,7832,0,0,0,0
STU-00028,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-06,78.8,2.53,9689,0,0,0,0
STU-00028,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-07,97.8,3.24,13321,0,0,0,0
STU-00028,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-08,80.6,2.25,9412,0,0,0,1
STU-00029,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-03,80.4,2.17,4316,0,0,0,0
STU-00029,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-04,72.5,2.08,5435,0,0,0,1
STU-00029,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-05,50.3,1.0,1186,1,0,0,1
STU-00029,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-06,97.1,2.93,22331,0,0,0,0
STU-00029,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-07,68.0,1.68,2241,1,0,0,1
STU-00029,Chiang Rai,Mae Sai,Mae Sai Border Academy,2026-08,86.0,2.16,8066,0,0,0,1
STU-00030,Chiang Rai,Mae Fah Luang,Highland Care School,2026-03,73.4,1.53,3586,0,0,1,0
STU-00030,Chiang Rai,Mae Fah Luang,Highland Care School,2026-04,78.2,2.24,5608,0,0,1,0
STU-00030,Chiang Rai,Mae Fah Luang,Highland Care School,2026-05,95.1,3.62,13791,0,0,1,0
STU-00030,Chiang Rai,Mae Fah Luang,Highland Care School,2026-06,82.0,2.37,9069,0,0,1,1
STU-00030,Chiang Rai,Mae Fah Luang,Highland Care School,2026-07,81.5,2.68,6426,0,0,1,1
STU-00030,Chiang Rai,Mae Fah Luang,Highland Care School,2026-08,61.9,2.08,5686,0,0,1,0
STU-00031,Chiang Rai,Mae Fah Luang,Doi Access School,2026-03,68.1,1.91,4597,1,0,0,1
STU-00031,Chiang Rai,Mae Fah Luang,Doi Access School,2026-04,45.0,1.03,1000,1,0,1,0
STU-00031,Chiang Rai,Mae Fah Luang,Doi Access School,2026-05,78.0,2.56,7281,0,0,0,0
STU-00031,Chiang Rai,Mae Fah Luang,Doi Access School,2026-06,79.0,2.2,5898,0,0,1,1
STU-00031,Chiang Rai,Mae Fah Luang,Doi Access School,2026-07,77.6,2.07,11975,0,0,0,1
STU-00031,Chiang Rai,Mae Fah Luang,Doi Access School,2026-08,73.8,2.25,6948,0,0,1,1
STU-00032,Chiang Rai,Chiang Khong,Chiang Khong Learning Center,2026-03,97.8,3.51,19122,0,0,0,0
STU-00032,Chiang Rai,Chiang Khong,Chiang Khong Learning Center,2026-04,85.0,2.14,7828,0,0,0,1
STU-00032,Chiang Rai,Chiang Khong,Chiang Khong Learning Center,2026-05,91.3,3.27,13874,0,0,1,1
STU-00032,Chiang Rai,Chiang Khong,Chiang Khong Learning Center,2026-06,93.5,3.37,22638,0,0,0,0
STU-00032,Chiang Rai,Chiang Khong,Chiang Khong Learning Center,2026-07,85.7,2.37,8080,0,0,0,0
STU-00032,Chiang Rai,Chiang Khong,Chiang Khong Learning Center,2026-08,82.4,2.71,5634,0,0,1,1
STU-00033,Chiang Rai,Mae Sai,Northern Bridge School,2026-03,68.5,1.99,4746,1,0,1,1
STU-00033,Chiang Rai,Mae Sai,Northern Bridge School,2026-04,76.4,2.63,6044,1,0,0,1
STU-00033,Chiang Rai,Mae Sai,Northern Bridge School,2026-05,72.4,2.5,9865,1,0,0,0
STU-00033,Chiang Rai,Mae Sai,Northern Bridge School,2026-06,90.3,3.12,19099,1,0,0,1
STU-00033,Chiang Rai,Mae Sai,Northern Bridge School,2026-07,80.2,2.26,7605,1,0,1,0
STU-00033,Chiang Rai,Mae Sai,Northern Bridge School,2026-08,82.2,2.6,8439,1,0,0,0
STU-00034,Chiang Rai,Mae Fah Luang,Highland Care School,2026-03,80.0,2.32,8878,0,0,1,1
STU-00034,Chiang Rai,Mae Fah Luang,Highland Care School,2026-04,81.3,2.73,8023,0,0,0,1
STU-00034,Chiang Rai,Mae Fah Luang,Highland Care School,2026-05,92.4,3.6,12744,0,0,0,0
STU-00034,Chiang Rai,Mae Fah Luang,Highland Care School,2026-06,75.6,2.39,10831,0,0,0,1
STU-00034,Chiang Rai,Mae Fah Luang,Highland Care School,2026-07,99.0,2.92,12773,0,0,0,0
STU-00034,Chiang Rai,Mae Fah Luang,Highland Care School,2026-08,79.8,2.64,7908,0,0,0,1
STU-00035,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-03,93.8,2.89,11965,0,0,0,1
STU-00035,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-04,81.6,2.12,5380,0,0,1,0
STU-00035,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-05,76.8,2.48,10060,0,0,0,0
STU-00035,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-06,77.8,2.38,7729,0,0,0,1
STU-00035,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-07,75.6,2.45,6932,0,0,0,0
STU-00035,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-08,78.0,2.75,6807,0,0,0,1
STU-00036,Khon Kaen,Ban Phai,Ban Phai Community School,2026-03,74.9,2.73,9672,0,0,0,0
STU-00036,Khon Kaen,Ban Phai,Ban Phai Community School,2026-04,97.9,3.21,25780,0,0,0,0
STU-00036,Khon Kaen,Ban Phai,Ban Phai Community School,2026-05,84.5,2.2,5503,0,0,0,1
STU-00036,Khon Kaen,Ban Phai,Ban Phai Community School,2026-06,74.3,1.77,3315,0,0,0,1
STU-00036,Khon Kaen,Ban Phai,Ban Phai Community School,2026-07,69.2,1.76,4193,0,0,0,1
STU-00036,Khon Kaen,Ban Phai,Ban Phai Community School,2026-08,51.5,1.11,1816,0,0,0,0
STU-00037,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-03,77.0,2.71,7848,0,0,0,1
STU-00037,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-04,61.3,1.74,5026,1,0,0,1
STU-00037,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-05,76.0,1.51,6413,0,0,0,1
STU-00037,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-06,76.1,2.45,4726,0,0,0,0
STU-00037,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-07,93.7,3.69,16773,0,0,0,1
STU-00037,Khon Kaen,Mueang,Khon Kaen Inclusive School,2026-08,96.3,2.97,25535,0,0,0,1
STU-00038,Khon Kaen,Ban Phai,Ban Phai Community School,2026-03,84.0,2.51,11568,0,0,0,0
STU-00038,Khon Kaen,Ban Phai,Ban Phai Community School,2026-04,92.1,3.11,27667,0,0,0,1
STU-00038,Khon Kaen,Ban Phai,Ban Phai Community School,2026-05,82.7,2.48,7833,0,0,0,1
STU-00038,Khon Kaen,Ban Phai,Ban Phai Community School,2026-06,95.1,3.19,12788,0,0,0,1
STU-00038,Khon Kaen,Ban Phai,Ban Phai Community School,2026-07,98.1,3.62,13060,0,0,0,1
STU-00038,Khon Kaen,Ban Phai,Ban Phai Community School,2026-08,84.3,2.33,6030,0,0,0,1
STU-00039,Khon Kaen,Ban Phai,Ban Phai Community School,2026-03,97.6,3.18,10714,0,0,0,1
STU-00039,Khon Kaen,Ban Phai,Ban Phai Community School,2026-04,61.5,1.93,4663,1,0,0,0
STU-00039,Khon Kaen,Ban Phai,Ban Phai Community School,2026-05,77.4,2.15,10151,0,0,0,0
STU-00039,Khon Kaen,Ban Phai,Ban Phai Community School,2026-06,98.4,3.71,19489,0,0,0,0
STU-00039,Khon Kaen,Ban Phai,Ban Phai Community School,2026-07,81.3,2.4,8274,0,0,0,0
STU-00039,Khon Kaen,Ban Phai,Ban Phai Community School,2026-08,76.5,2.12,6078,0,0,0,0
STU-00040,Khon Kaen,Chum Phae,Plateau Learning Center,2026-03,74.2,2.48,4931,0,0,0,1
STU-00040,Khon Kaen,Chum Phae,Plateau Learning Center,2026-04,84.9,2.23,7408,0,0,0,0
STU-00040,Khon Kaen,Chum Phae,Plateau Learning Center,2026-05,71.7,2.05,4692,0,0,0,1
STU-00040,Khon Kaen,Chum Phae,Plateau Learning Center,2026-06,85.4,2.57,6747,0,0,0,1
STU-00040,Khon Kaen,Chum Phae,Plateau Learning Center,2026-07,96.1,3.31,19598,0,0,0,1
STU-00040,Khon Kaen,Chum Phae,Plateau Learning Center,2026-08,77.7,2.1,6338,0,0,0,1
STU-00041,Khon Kaen,Ban Phai,Mittraphap Bridge School,2026-03,98.7,3.36,15589,0,1,0,1
STU-00041,Khon Kaen,Ban Phai,Mittraphap Bridge School,2026-04,82.7,2.61,4649,0,1,0,1
STU-00041,Khon Kaen,Ban Phai,Mittraphap Bridge School,2026-05,62.9,1.96,6104,0,1,0,0
STU-00041,Khon Kaen,Ban Phai,Mittraphap Bridge School,2026-06,81.2,2.62,11835,0,1,0,1
STU-00041,Khon Kaen,Ban Phai,Mittraphap Bridge School,2026-07,79.5,2.31,8208,0,1,0,1
STU-00041,Khon Kaen,Ban Phai,Mittraphap Bridge School,2026-08,94.0,3.49,20805,0,1,1,1
STU-00042,Khon Kaen,Ban Phai,Ban Phai Community School,2026-03,84.6,2.72,7162,0,0,0,1
STU-00042,Khon Kaen,Ban Phai,Ban Phai Community School,2026-04,83.6,2.47,5942,0,0,0,0
STU-00042,Khon Kaen,Ban Phai,Ban Phai Community School,2026-05,78.0,2.52,5014,0,0,0,1
STU-00042,Khon Kaen,Ban Phai,Ban Phai Community School,2026-06,95.7,3.09,22405,0,0,0,1
STU-00042,Khon Kaen,Ban Phai,Ban Phai Community School,2026-07,78.5,2.58,9169,0,0,0,0
STU-00042,Khon Kaen,Ban Phai,Ban Phai Community School,2026-08,82.2,2.52,10810,0,0,0,1
STU-00043,Khon Kaen,Chum Phae,Plateau Learning Center,2026-03,45.0,1.11,2093,0,0,0,0
STU-00043,Khon Kaen,Chum Phae,Plateau Learning Center,2026-04,73.1,1.51,3113,0,0,0,0
STU-00043,Khon Kaen,Chum Phae,Plateau Learning Center,2026-05,75.3,2.51,9562,0,0,0,1
STU-00043,Khon Kaen,Chum Phae,Plateau Learning Center,2026-06,79.5,2.47,9789,0,0,0,0
